County,State,year,Factory_num,Unnamed: 0,avg(NO2 Mean),avg(O3 Mean),avg(SO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_tenyears,SO2_tenyears,O3_tenyears,Autos,Motorcycles,Trailers,Trucks,Total Vehicles
Los Angeles,California,2010,25820,4,20.44729551851863,0.022612035861258,0.7809418915343903,9818605,4752.32,56740,40346,5243,20862,14241,26105,577.8824996015219,410.91377033702855,53.39862434633025,212.47417530290707,145.04097068779117,265.8727996492373,2066.065626893812,27.253925825846217,1.9238752107028567,0.0218130051148512,5810035,146703,343251,1110636,7410625
Orange,California,2010,9520,45,11.172932052197831,0.0269701043956044,0.5648764587912081,3010232,947.91,17165,11952,1608,5878,4466,7486,570.2218300782132,397.0458090937841,53.41780965719586,195.2673415205207,148.3606579160676,248.6851511777165,3175.651696891055,15.441700463313897,1.3008360580448686,0.0290024144935606,1939359,58313,124324,398478,2520474
San Diego,California,2010,5694,54,17.280307051519124,0.025284785997358,0.5650787060766189,3095313,4525.92,19297,12789,1635,6169,4985,7804,623.4264515414111,413.1730781345861,52.821798635549946,199.3013307539496,161.04994874508654,252.12312938949952,683.9080231201611,19.52177906440705,3.2610866374482903,0.0263662369476689,1931471,74818,187612,475678,2669579
Santa Clara,California,2010,4676,56,13.54535503086417,0.0199510164609053,0.3903861862139927,1781642,1304.53,8909,5986,753,2832,2401,3585,500.0443411190351,335.9822006890273,42.26438308032702,158.95449254115024,134.76332506755006,201.21887562147725,1365.7347857082627,13.408175269841278,0.3369833523809523,0.0182589936507936,1208901,37904,69946,201244,1517995
Alameda,California,2010,3662,43,13.107570373368189,0.0185810992167101,0.808043203655351,1510271,821.26,8811,5917,818,2810,2289,3628,583.405229922312,391.7839910850437,54.16246488213043,186.05932312810089,151.5622030748124,240.2217880102313,1838.9681708594112,18.1187440775719,1.4746959703473606,0.0158101600622297,952005,31421,70428,184257,1238111
San Bernardino,California,2010,3610,44,18.927191771165187,0.0287982640402348,0.8020965461022649,2035210,20106.39,11916,8043,1132,4143,2768,5275,585.492406189042,395.1926336839933,55.620795888384976,203.56621675404503,136.00562104156327,259.18701264243003,101.22204930870237,20.25758801965544,1.045360927425929,0.0315594473126301,1066756,42228,180026,350598,1639608
Riverside,California,2010,2774,32,16.920116675090206,0.031032238267148,1.2604395794223833,2189641,7303.81,13961,9644,1279,4960,3405,6239,637.5931031616599,440.43749637497655,58.411401686395166,226.52115118414383,155.50494350443748,284.93255287053904,299.79435390570126,20.630193658733948,1.6210902693847855,0.026856530685768,1134869,42851,167504,362726,1707950
Sacramento,California,2010,1564,52,8.378692592705146,0.0251457370820668,0.2352619658054723,1418788,995.65,10008,6711,1123,3177,2411,4300,705.3907983433747,473.0093572824129,79.15206500195943,223.9235178194346,169.93377446101883,303.07558282139405,1424.9866921106816,12.988722698517648,1.0174447735719407,0.0249971206265829,801270,32610,114511,208950,1157341
Fresno,California,2010,1196,23,12.916266709677414,0.0289471075268817,0.7467599233870963,930450,6017.89,5897,3826,585,2012,1229,2597,633.7793540759847,411.1988822612715,62.87280348218604,216.23945402762104,132.08662475146434,279.1122575098071,154.61399261202843,14.81871463415399,1.1622273633061746,0.0316278157129191,436656,19159,94035,170678,720528
Contra Costa,California,2010,1116,19,7.608833458112407,0.0239328006362673,0.9850142958642648,1049025,802.18,6829,4589,666,2204,1719,2870,650.9854388598936,437.4538261719216,63.48752412954887,210.09985462691543,163.8664474154572,273.5873787564644,1307.717719215139,11.132765552545496,1.5259062836670083,0.0234140332633132,680242,25252,71245,144276,921015
Santa Barbara,California,2010,906,10,2.12437892102844,0.0340792277318642,0.6643941418732776,423895,3789.56,2709,1832,236,950,646,1186,639.0733554300003,432.1824980242749,55.67416459264676,224.11210323311195,152.39623019851615,279.7862678257587,111.8586326644782,4.513732888702149,0.4134155991304114,0.0332445698099646,245444,12238,33244,77210,368136
Solano,California,2010,540,26,9.26397542797206,0.0230981188811188,0.5491519055944061,413344,906.85,2799,1820,298,772,750,1070,677.1599442595029,440.3112177750252,72.09491367964698,186.7693736935821,181.44693040179607,258.8642873732291,455.8019518112146,11.27444953835222,1.1218749785304585,0.0216481799817549,250033,12304,37290,70999,370626
Humboldt,California,2010,270,1,2.6348533177441573,0.0228440866574965,1.2851611980742803,134623,4052.52,1035,639,127,308,204,435,768.8136499706587,474.6588621557981,94.33752033456392,228.78705718933617,151.53428463189798,323.1245775239001,33.21957695458628,3.808521264462932,0.2039463704240816,0.0206335667581304,76305,4930,27108,40354,148697
Imperial,California,2010,110,33,13.87090537536654,0.0273100997067448,0.4904531964809397,174528,4482.08,771,554,67,303,184,370,441.7629262926293,317.4275760909424,38.38925559222589,173.61111111111111,105.42720938760544,212.000366703337,38.93906400599722,14.483829580441045,0.6482680890316548,0.025424134486711,92862,2191,21347,39382,155782
