year,state,Auto,Bus,Truck,Motorcycle
1990,Alabama,"2,629,143","8,234","1,107,114","43,871"
1990,Alaska,"247,886","2,144","227,295","11,541"
1990,Arizona,"1,898,056","4,399","922,657","79,554"
1990,Arkansas,"942,083","5,179","500,398","14,556"
1990,California,"15,364,023","40,127","6,521,728","640,554"
1990,Colorado,"2,114,555","5,526","1,035,290","108,433"
1990,Connecticut,"2,100,144","8,716","514,106","51,443"
1990,Delaware,"379,370","2,204","144,515","8,867"
1990,District of Columbia,"233,590","2,813","25,528","2,560"
1990,Florida,"8,113,064","36,846","2,799,896","205,827"
1990,Georgia,"3,865,101","14,377","1,609,666","74,463"
1990,Hawaii,"575,340","4,251","191,887","20,424"
1990,Idaho,"618,868","3,825","430,845","41,974"
1990,Illinois,"5,862,026","17,099","1,994,064","179,962"
1990,Indiana,"3,039,819","21,493","1,304,448","96,712"
1990,Iowa,"1,791,146","9,077","831,750","173,367"
1990,Kansas,"1,318,631","3,771","689,951","75,696"
1990,Kentucky,"1,940,126","10,027","959,255","34,509"
1990,Louisiana,"1,979,339","19,866","995,558","30,065"
1990,Maine,"637,034","2,876","336,700","37,795"
1990,Maryland,"2,741,133","10,937","854,450","56,124"
1990,Massachusetts,"3,023,956","10,940","690,902","55,730"
1990,Michigan,"5,116,866","22,865","2,069,486","176,524"
1990,Minnesota,"2,393,891","14,488","1,099,558","122,476"
1990,Mississippi,"1,269,280","8,675","597,490","26,090"
1990,Missouri,"2,691,446","11,863","1,201,370","67,751"
1990,Montana,"435,431","2,355","345,367","21,994"
1990,Nebraska,"904,780","5,026","474,040","22,105"
1990,Nevada,"553,011","1,757","298,676","19,257"
1990,New Hampshire,"648,955","1,675","295,113","39,533"
1990,New Jersey,"4,553,239","18,004","1,081,139","86,439"
1990,New Mexico,"789,624","3,415","508,222","33,464"
1990,New York,"8,202,904","32,456","1,960,793","197,935"
1990,North Carolina,"3,573,710","34,560","1,553,735","57,079"
1990,North Dakota,"364,329","2,161","263,349","20,176"
1990,Ohio,"6,316,634","30,681","2,063,151","228,408"
1990,Oklahoma,"1,637,193","13,197","998,661","60,838"
1990,Oregon,"1,558,088","10,612","876,787","64,088"
1990,Pennsylvania,"5,857,965","30,841","2,082,664","173,301"
1990,Rhode Island,"546,313","1,607","123,887","23,605"
1990,South Carolina,"1,818,744","13,829","687,164","31,087"
1990,South Dakota,"444,005","2,063","257,718","29,959"
1990,Tennessee,"3,097,212","13,867","1,333,029","80,478"
1990,Texas,"8,337,091","61,286","4,401,438","174,334"
1990,Utah,"777,906","1,164","426,447","28,172"
1990,Vermont,"303,922","1,431","156,443","17,590"
1990,Virginia,"3,562,932","16,810","1,358,320","61,884"
1990,Washington,"2,950,647","7,064","1,299,155","119,318"
1990,West Virginia,"767,745","3,783","453,419","22,138"
1990,Wisconsin,"2,549,321","12,312","1,252,678","189,102"
1990,Wyoming,"262,879","2,413","263,129","20,310"
1991,Alabama,"2,214,858","8,248","1,260,691","40,645"
1991,Alaska,"230,821","2,020","238,062","11,016"
1991,Arizona,"1,840,969","4,430","1,003,138","80,517"
1991,Arkansas,"873,479","5,489","600,669","14,000"
1991,California,"15,017,681","40,381","7,194,679","651,370"
1991,Colorado,"1,929,053","5,507","1,110,687","88,868"
1991,Connecticut,"2,035,154","8,521","545,102","50,882"
1991,Delaware,"375,499","2,164","155,904","9,232"
1991,District of Columbia,"213,691","2,818","29,881","2,057"
1991,Florida,"7,135,394","37,501","2,807,181","196,031"
1991,Georgia,"3,879,128","14,918","1,820,143","77,524"
1991,Hawaii,"552,084","4,273","228,647","20,857"
1991,Idaho,"568,229","3,794","483,346","33,198"
1991,Illinois,"6,046,682","16,622","2,129,440","184,380"
1991,Indiana,"2,957,777","22,071","1,433,776","96,812"
1991,Iowa,"1,733,477","9,152","925,807","165,451"
1991,Kansas,"1,189,070","3,780","686,592","59,224"
1991,Kentucky,"1,899,035","10,314","1,032,753","34,328"
1991,Louisiana,"1,953,115","19,706","1,072,967","32,332"
1991,Maine,"623,924","2,850","352,075","37,141"
1991,Maryland,"2,693,211","10,979","926,046","54,906"
1991,Massachusetts,"2,897,572","10,675","755,596","53,649"
1991,Michigan,"5,001,380","23,135","2,220,423","166,125"
1991,Minnesota,"2,160,588","14,734","1,097,831","112,367"
1991,Mississippi,"1,208,822","8,684","669,935","26,198"
1991,Missouri,"2,598,722","11,958","1,339,445","60,783"
1991,Montana,"404,194","2,438","359,122","21,185"
1991,Nebraska,"866,514","5,029","532,901","20,667"
1991,Nevada,"545,584","1,766","333,924","19,833"
1991,New Hampshire,"613,873","1,685","290,906","36,692"
1991,New Jersey,"4,354,315","17,879","1,146,763","86,096"
1991,New Mexico,"758,560","3,401","558,527","32,083"
1991,New York,"7,729,805","33,200","2,008,432","197,851"
1991,North Carolina,"3,461,570","34,946","1,719,661","58,406"
1991,North Dakota,"344,769","2,177","281,726","19,181"
1991,Ohio,"6,344,715","30,979","2,308,905","235,975"
1991,Oklahoma,"1,573,573","13,447","1,082,292","58,990"
1991,Oregon,"1,503,586","10,994","992,370","62,369"
1991,Pennsylvania,"5,747,840","31,187","2,258,781","167,326"
1991,Rhode Island,"501,554","1,600","125,253","23,125"
1991,South Carolina,"1,712,422","13,990","744,833","29,406"
1991,South Dakota,"414,182","2,525","285,280","24,152"
1991,Tennessee,"3,041,367","14,467","1,485,842","74,290"
