Year,County_Name,State,Population,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate
1999,Ada,ID,294292,1535,1116,192,579,345,771,521.590800973183,379.21520122871163,65.24132494257404,196.74337052994983,117.23050575618774,261.98469547252387
1999,Adair,OK,20904,139,116,12,79,25,91,664.9445082280903,554.9177190968236,57.4052812858783,377.91810179869884,119.59433601224644,435.32338308457713
1999,Adams,CO,354146,1849,1276,240,659,377,899,522.1010543674078,360.30337770298127,67.76866038300588,186.08144663500363,106.45327068497174,253.8501070180095
1999,Adams,PA,90363,681,538,67,330,141,397,753.627037614953,595.3764261921361,74.14539136593517,365.1937186680389,156.03731615816207,439.33911003397407
1999,Alameda,CA,1427114,9801,7284,818,4096,2370,4914,686.7706434104074,510.40071080516344,57.318476309530986,287.0128104692407,166.06942402639172,344.3312867787717
1999,Alexandria City,VA,125668,649,484,65,290,129,355,516.4401438711525,385.14180220899516,51.723589139637774,230.76678231530698,102.65143075405035,282.4903714549448
1999,Allegheny,PA,1287247,15383,11679,1459,6428,3792,7887,1195.0309458868421,907.2850820394222,113.3426607325556,499.3602626380174,294.5821586688491,612.702923370573
1999,Anoka,MN,293599,1157,822,97,420,305,517,394.0749116992905,279.9737056325124,33.03825966709696,143.05225835237857,103.88318761303684,176.09051801947555
1999,Aroostook,ME,74227,665,510,77,305,128,382,895.9004135961308,687.0815202015439,103.73583736376251,410.90169345386454,172.44398938391691,514.637530817627
1999,Athens,OH,61856,330,262,27,174,61,201,533.4971546818417,423.56440765649245,43.649767201241595,281.2984997413347,98.6161407139162,324.9482669425763
1999,Baltimore,MD,749425,7299,5294,718,2757,1819,3475,973.9466924642226,706.4082463221803,95.80678520198819,367.8820428995563,242.71941822063582,463.6888281015445
1999,Beaver,PA,182592,2066,1533,221,805,507,1026,1131.484402383456,839.5767613038906,121.03487556957587,440.87364178058186,277.66824395373294,561.9085173501577
1999,Berks,PA,370942,3459,2648,381,1461,806,1842,932.4907937089896,713.8582312059567,102.7114751093163,393.86211321446484,217.28464288217563,496.57358832378105
1999,Bernalillo,NM,553002,4018,2631,446,1333,852,1779,726.5796507065073,475.76681458656566,80.65070289076712,241.04795281029726,154.06815888550133,321.69865570106435
1999,Bexar,TX,1378688,10032,6988,846,3945,2197,4791,727.6483149196918,506.85869464302294,61.36268684430415,286.14160709312046,159.35440070559838,347.50429393742456
1999,Blair,PA,129757,1398,1090,118,657,315,775,1077.3985218523858,840.03175165887,90.93921715206116,506.3310649907134,242.76146951609547,597.2702821427746
1999,Blount,TN,104492,860,615,109,371,135,480,823.0295142211843,588.5618037744516,104.31420587221989,355.05110439076674,129.19649351146498,459.3653102629866
1999,Boyd,KY,49816,443,341,38,204,99,242,889.2725228842139,684.5190300305123,76.28071302392806,409.5069857074032,198.73133129918097,485.7876987313313
1999,Bronx,NY,1317895,10548,7710,808,4728,2174,5536,800.367252322833,585.0238448434815,61.309891910964076,358.7539219740571,164.96003095846027,420.0638138850212
1999,Bucks,PA,593947,4942,3634,475,1907,1252,2382,832.0607730992833,611.8391034890319,79.97346564592465,321.0724189195332,210.793218923574,401.0458845654578
1999,Cambria,PA,153911,1784,1371,188,807,376,995,1159.1114345303454,890.7745385320088,122.14851440117991,524.3289953284691,244.29702880235982,646.4775097296489
