,State,County,year,month,avg(NO2 Mean)
0,Florida,Orange,2000,2,17.773742884615384
1,North Carolina,Forsyth,2001,9,13.6250001
2,Pennsylvania,Montgomery,2001,7,12.834852774193552
3,California,San Francisco,2002,1,26.767180903225842
4,Arizona,Pima,2000,7,10.259408580645168
5,California,Los Angeles,2000,8,30.625175241935455
6,Texas,Harris,2000,8,17.134991533333338
7,California,Ventura,2001,4,10.2380764
8,Florida,Orange,2001,2,13.882722642857145
9,New York,Bronx,2001,5,29.157093709677426
10,Pennsylvania,Northampton,2001,3,9.291667
11,California,Ventura,2000,1,18.13598116129034
12,Indiana,Marion,2000,4,19.66773083333334
13,Michigan,Wayne,2000,4,23.901288315789476
14,Pennsylvania,Beaver,2000,4,15.995431833333331
15,Pennsylvania,Blair,2000,6,11.514251233333333
16,Pennsylvania,Lackawanna,2000,6,12.972350413793102
17,Pennsylvania,York,2000,8,13.551705161290325
18,California,Orange,2001,1,34.088359096774184
19,Arizona,Pima,2002,2,19.5855742857143
20,Arizona,Maricopa,2001,2,26.489656946428614
21,California,Contra Costa,2001,9,12.52648782700422
22,Michigan,Wayne,2001,5,25.737852032258058
23,New York,Bronx,2001,9,24.84025625
24,New York,Suffolk,2001,5,15.358865000000003
25,Texas,El Paso,2001,2,17.83686230357143
26,Kansas,Wyandotte,2000,9,12.224242433333332
27,Kentucky,McCracken,2000,6,6.668300957446809
28,California,Sacramento,2001,4,10.678154929824558
29,California,San Francisco,2001,5,18.537166935483878
30,California,San Bernardino,2000,8,25.08770332258064
31,New York,Bronx,2000,5,28.797768703703696
32,New York,Suffolk,2000,2,21.517409772727266
33,Oklahoma,Kay,2000,8,6.347348599999998
34,California,Orange,2001,10,17.950911645161277
35,Illinois,Saint Clair,2001,4,17.480505033333333
36,Kansas,Wyandotte,2001,12,18.58859277419355
37,Kentucky,Henderson,2001,4,13.775296999999991
38,Pennsylvania,Bucks,2001,9,12.251811599999991
39,Texas,Dallas,2000,8,18.75576035483872
40,California,Los Angeles,2001,11,39.63600956069364
41,California,Orange,2001,8,8.333800903225804
42,Colorado,Adams,2001,3,23.44641492857141
43,Massachusetts,Suffolk,2001,11,28.16759658333334
44,Oklahoma,Kay,2001,6,6.668591624999996
45,California,Solano,2000,8,9.868147161290313
46,Pennsylvania,Lawrence,2000,3,24.583333
47,Virginia,Alexandria City,2000,4,22.193683033333347
48,California,San Diego,2001,2,23.3857273965517
49,Illinois,Saint Clair,2001,12,17.60932145161291
50,New York,Suffolk,2001,3,16.7588008
51,California,Alameda,2002,3,18.96561340677967
52,California,Imperial,2002,4,9.46461108695653
53,California,San Francisco,2002,4,13.569663866666668
54,District Of Columbia,District of Columbia,2000,2,19.27932432142857
55,Kentucky,Fayette,2000,3,13.831636740740741
56,New Jersey,Camden,2000,3,22.677003967741935
57,Texas,Harris,2000,9,15.551603699999994
58,Colorado,Adams,2001,2,29.454346740740725
59,Pennsylvania,Cambria,2001,4,13.828255899999998
60,Pennsylvania,Northampton,2001,4,16.44522946666667
61,Pennsylvania,York,2001,10,20.094330419354833
62,California,Contra Costa,2000,5,10.125785933333345
63,Oklahoma,Cherokee,2000,8,4.619841190476188
64,Pennsylvania,Lancaster,2000,6,9.432729499999992
65,Pennsylvania,Northampton,2000,8,12.515561387096778
66,Texas,El Paso,2000,9,15.257030416666662
67,Missouri,Saint Louis,2001,8,16.57024303225807
68,Pennsylvania,Cambria,2001,9,10.877549399999998
69,Kentucky,Fayette,2000,4,12.506787238095233
70,Missouri,Saint Louis,2000,7,14.308362070967704
71,Florida,Orange,2001,8,12.088241870967746
72,Louisiana,East Baton Rouge,2001,9,15.450730199999997
73,Louisiana,East Baton Rouge,2001,12,22.14349322580645
74,North Carolina,Mecklenburg,2001,8,14.915158451612902
75,Texas,Dallas,2001,5,14.129803714285712
76,California,San Bernardino,2002,8,24.994581903225775
77,Kentucky,Henderson,2000,4,16.38000496666668
78,California,San Diego,2001,11,27.570963211111117
79,California,Santa Cruz,2001,8,3.842839387096773
80,New York,Bronx,2001,12,28.77771958064516
81,Pennsylvania,Lancaster,2001,8,9.55617538709677
82,California,Contra Costa,2002,5,9.59323519463089
83,Arizona,Pima,2000,10,14.550233677419358
84,California,Riverside,2000,3,12.168302967741935
85,Florida,Orange,2000,12,14.889051806451615
86,Arizona,Maricopa,2001,6,22.977831799999997
87,Louisiana,East Baton Rouge,2001,2,19.643133703703707
88,Pennsylvania,Berks,2001,9,17.413075966666664
89,Texas,Dallas,2001,6,15.136904766666666
90,California,Alameda,2002,5,12.19859113793105
91,California,Santa Barbara,2002,1,7.413034927419352
92,California,Riverside,2000,11,25.866666700000028
93,Arizona,Pima,2001,4,15.681143086956517
94,California,San Diego,2001,6,12.3323414597701
95,California,Imperial,2002,11,17.042753566666665
96,California,Contra Costa,2000,4,10.588445983333349
97,Kentucky,Henderson,2000,5,15.485670384615378
98,Kentucky,Jefferson,2000,9,10.196464633333333
99,Pennsylvania,Allegheny,2000,3,32.875
100,Pennsylvania,Westmoreland,2000,7,16.105739709677422
101,Missouri,St. Louis City,2001,7,18.94937087096774
102,California,Contra Costa,2002,1,16.034490129032267
103,California,Imperial,2002,9,10.70461136666665
104,California,Los Angeles,2002,6,21.19168058666667
105,Arizona,Pima,2000,2,23.150062863636375
106,Pennsylvania,York,2000,6,14.054088100000005
107,California,Santa Cruz,2001,3,4.257731322580644
108,Pennsylvania,Lancaster,2001,9,9.2656401
109,Pennsylvania,Philadelphia,2001,6,22.23406443333332
110,Texas,El Paso,2001,1,18.963942894736856
111,Arizona,Pima,2002,6,13.192171766666663
112,California,Santa Barbara,2002,12,5.122970698924732
113,Kansas,Linn,2000,6,1.4197069600000005
114,Pennsylvania,Cambria,2000,3,21.625
115,Pennsylvania,Montgomery,2000,9,16.348611133333332
116,Texas,El Paso,2000,5,9.221513548387101
117,California,Los Angeles,2001,3,32.577787692810546
118,Kentucky,Fayette,2001,3,16.525298709677422
119,Louisiana,East Baton Rouge,2001,4,12.417532499999993
120,California,Santa Barbara,2002,8,3.5385636693548377
121,California,Orange,2000,9,15.466666699999998
122,California,Santa Cruz,2000,3,4.922563709677418
123,North Carolina,Forsyth,2000,9,11.63148144444445
124,Colorado,Adams,2001,10,23.63253462500001
125,California,Contra Costa,2002,12,16.47103793055557
126,California,Los Angeles,2002,4,23.3802936920821
127,California,Los Angeles,2000,9,33.2394927166667
128,Florida,Orange,2000,6,9.545399566666672
129,Pennsylvania,Lancaster,2001,7,8.343291322580653
130,California,Solano,2000,2,15.805520344827578
131,Missouri,Saint Louis,2000,10,20.774464787096797
132,California,Imperial,2000,6,11.583786166666671
133,California,Santa Cruz,2000,8,3.780320483870967
134,Kentucky,McCracken,2000,5,7.889831709677415
135,Missouri,Saint Louis,2000,3,32.84999999999999
136,North Carolina,Mecklenburg,2000,7,13.983675440677962
137,Pennsylvania,Cambria,2000,9,11.333287379310342
138,Pennsylvania,Washington,2000,4,14.774961500000005
139,Arizona,Maricopa,2001,4,26.754801229508182
140,California,Imperial,2001,12,23.337115935483883
141,Kentucky,Jefferson,2001,8,12.066919249999993
142,California,Alameda,2002,8,15.516563199999991
143,California,San Diego,2002,7,10.392643799999998
144,Pennsylvania,Lawrence,2000,5,19.25170277419355
145,California,San Francisco,2001,11,25.448139499999986
146,District Of Columbia,District of Columbia,2001,10,22.846402322580648
147,Pennsylvania,Beaver,2001,3,15.708333
148,California,Orange,2002,6,6.033638433333336
149,Illinois,Cook,2000,4,27.859013045454585
150,Kentucky,Fayette,2000,7,10.385694225806438
151,California,Santa Barbara,2001,6,4.056798116666674
152,Kentucky,Boyd,2001,6,13.50910973333334
153,Missouri,Saint Louis,2001,9,18.019202833333345
154,Pennsylvania,Lackawanna,2001,4,14.862563464285715
155,California,Orange,2002,7,7.610098161290319
156,California,San Bernardino,2002,11,23.265836033333333
157,California,Imperial,2000,10,16.728185709677422
158,Kentucky,Henderson,2000,2,20.4
159,Pennsylvania,Lawrence,2000,6,18.34710228571428
160,Nevada,Clark,2001,10,6.107004322580648
161,Arizona,Pima,2002,8,11.598134193548391
162,California,Contra Costa,2001,11,17.522379541666673
163,California,Imperial,2000,11,26.056982933333316
164,California,Orange,2000,7,7.576437516129036
165,Kentucky,Daviess,2000,9,9.176536800000003
166,Arizona,Pima,2001,3,17.89995864
167,California,Contra Costa,2001,1,20.12633691666664
168,California,Sacramento,2001,1,19.27616830645162
169,California,San Diego,2001,10,23.661751408602164
170,California,San Francisco,2001,10,23.797751096774203
171,New York,Suffolk,2001,8,14.70674493333333
172,Oklahoma,Cherokee,2001,2,10.142857
173,Pennsylvania,Westmoreland,2001,8,15.570391870967747
174,Texas,Harris,2001,7,11.793833870967752
175,Texas,Dallas,2000,7,12.222222
