,State,County,year,avg(NO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_fiveyears
0,Pennsylvania,Erie,2006,10.322214201923076,278389,1558.49,2482,1706,225,862,619,1087,891.5582153030472,612.8115694226425,80.82215892150911,309.6386710681816,222.3507394329517,390.4608299896907,178.6273893319816,11.089426873239432
1,Pennsylvania,Bucks,2006,14.284835706766936,619544,622.15,4876,3204,476,1481,1247,1957,787.030461113335,517.1545523804605,76.83070128998102,239.046782795088,201.27706829539144,315.87748408506906,995.811299525838,13.640484503377895
2,California,Santa Cruz,2006,3.8649884777777808,251616,607.72,1343,937,142,488,307,630,533.7498410275975,372.3928526007885,56.43520284878545,193.9463309169528,122.01131883505025,250.38153376573823,414.0327782531429,4.248996704712265
3,California,Santa Barbara,2006,4.2945849807559915,408085,3789.56,2664,1875,247,1003,625,1250,652.8051753923814,459.463102049818,60.52660597669603,245.78212872318267,153.15436734993935,306.3087346998787,107.68664435976736,4.902683367572313
4,Illinois,Cook,2006,21.00873797209304,5165495,1634.89,41375,28006,3381,14528,10097,17909,800.9880950421983,542.1745641027626,65.45355285408272,281.2508772150588,195.47013403362115,346.7044300691415,3159.536727241588,24.248468059536073
5,Pennsylvania,Montgomery,2006,13.019884626942988,781519,487.47,6905,4549,627,2255,1667,2882,883.5357809599,582.0715811131911,80.22837576565637,288.540649683501,213.30255566403375,368.76902544915737,1603.2145567932384,13.042318472869061
6,California,Contra Costa,2006,10.575425662328767,1000834,802.18,6766,4734,725,2248,1761,2973,676.0361858210252,473.0055134018229,72.43958538578825,224.6126730306924,175.95325498534223,297.05225841648064,1247.6426737141292,11.855021056552651
7,California,Imperial,2006,13.981335493758678,160505,4482.08,747,480,59,257,164,316,465.40606211644496,299.0561041712096,36.75897947104452,160.1196224416685,102.17750225849662,196.878601912713,35.810382679470244,13.854905241630775
8,Indiana,Marion,2006,13.922752137931043,878515,403.11,7385,5012,780,2537,1695,3317,840.6230969306158,570.5081871112047,88.78619033254982,288.7827754790755,192.9392212995794,377.5689658116253,2179.343107340428,14.57490225435599
9,New York,Suffolk,2006,12.7272981520146,1475626,2373.39,11064,8123,884,4381,2858,5265,749.7834817223335,550.4782377106394,59.90677854686757,296.890946621976,193.68051254179585,356.7977251688436,621.7376832294735,14.913740016210019
