,State,County,year,avg(NO2 Mean),avg(O3 Mean),avg(SO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_tenyears,SO2_tenyears,O3_tenyears
0,North Dakota,Cass,2010,5.418301605479465,0.02645503287671228,0.281607457534247,149778,1768.0,732,466,75,244,147,319,488.7233104995393,311.12713482620944,50.07410968232985,162.9077701665131,98.1452549773665,212.9818798488429,84.71606334841628,5.134675142719852,0.23022724961234975,0.02501637844746129
1,California,Humboldt,2010,2.6348533177441573,0.022844086657496536,1.2851611980742803,134623,4052.52,1035,639,127,308,204,435,768.8136499706587,474.6588621557981,94.33752033456392,228.78705718933617,151.53428463189798,323.1245775239001,33.21957695458628,3.8085212644629323,0.20394637042408165,0.02063356675813047
2,Arkansas,Pulaski,2010,10.004748837499944,0.027649920138888614,1.2924943253472232,382748,807.91,3234,2020,225,1025,770,1250,844.9423641665012,527.7623919654708,58.78541494664897,267.80022364584534,201.1767533729765,326.58563859249426,473.7507890730403,9.639825574250736,2.2176899564156316,0.02470585744513243
3,Pennsylvania,York,2010,11.458177520190016,0.03088225178147275,2.1654765843230406,434972,910.34,3505,2283,310,1065,908,1375,805.7989939582318,524.8613703870594,71.2689552430961,244.84334623837856,208.74906890558472,316.1123014814747,477.8126853703012,13.787552089353161,4.373537801543897,0.03038936764592102
4,California,Los Angeles,2010,20.44729551851863,0.022612035861258074,0.7809418915343903,9818605,4752.32,56740,40346,5243,20862,14241,26105,577.8824996015219,410.91377033702855,53.39862434633025,212.47417530290707,145.04097068779117,265.8727996492373,2066.065626893812,27.253925825846217,1.9238752107028567,0.021813005114851264
5,New York,Steuben,2010,0.8316376423076919,0.03406972307692319,0.5393811096153841,98990,1404.17,821,570,120,291,159,411,829.3767047176482,575.8157389635317,121.2243660975856,293.9690877866451,160.62228507930095,415.19345388423073,70.49716202454118,2.2784267641669116,1.3119147222641319,0.027279147078304363
6,Idaho,Ada,2010,9.39700466944445,0.026446447222222128,0.323219595833333,392365,1060.38,2173,1345,215,594,536,809,553.8210594726849,342.79306258203457,54.79591706701668,151.3896499432926,136.6074955717253,206.18556701030928,370.0230106188348,6.337445621621625,0.2210766148648648,0.034156216216216256
7,Massachusetts,Suffolk,2010,17.05275001244811,0.022201795297372012,1.5808720235131426,722023,120.07,4464,2798,355,1255,1188,1610,618.2628531224074,387.5222811461685,49.16740879445669,173.81717756913562,164.53769478257618,222.9845863635923,6013.350545515116,20.073668375842054,3.5671239344181163,0.01993398420760599
8,Texas,McLennan,2010,2.802922192634563,0.028194702549575023,0.4147277082152978,234906,1060.27,1843,1209,195,580,434,775,784.5691468076592,514.6739546882583,83.01192817552554,246.90727354771695,184.7547529650158,329.9192017232425,221.55300065077765,2.796341048088441,0.08461520099355997,0.028184402962844413
9,Arizona,Maricopa,2010,17.92351301842257,0.02492193091537127,1.3555428937823857,3817117,9224.86,24815,15092,2147,7042,5903,9189,650.0979666067349,395.376929761388,56.246638497064666,184.48478262521164,154.64550863911165,240.73142112227632,413.7859002738253,24.648808323182845,2.0374083254490634,0.02176212960091773
