county,state,est_2000,est_2001,est_2002,est_2003,est_2004,est_2005,est_2006,est_2007,est_2008,est_2009,est_2010,est_2011,est_2012,est_2013,est_2014,est_2015,est_2016
LOS ANGELES COUNTY,CA,35154.0,34894.0,33530.0,33134.0,32436.0,31476.0,31086.0,30454.0,29494.0,27312.0,25820.0,25548.0,63830.0,62290.0,62305.0,62100.0,60395.0
COOK COUNTY,IL,14998.0,14676.0,13792.0,13494.0,13376.0,13050.0,12626.0,12218.0,11904.0,11338.0,10852.0,10708.0,26305.0,25700.0,25465.0,25185.0,25070.0
ORANGE COUNTY,CA,11332.0,11286.0,10798.0,10808.0,11066.0,10840.0,10710.0,10648.0,10410.0,9908.0,9520.0,9306.0,23605.0,23190.0,23225.0,23310.0,22875.0
HARRIS COUNTY,TX,8502.0,8416.0,8312.0,8238.0,8190.0,8088.0,8196.0,8308.0,8344.0,8080.0,7848.0,7952.0,20335.0,20175.0,20455.0,20380.0,20045.0
NEW YORK COUNTY,NY,8382.0,7796.0,6916.0,6542.0,6514.0,6078.0,5764.0,5606.0,5174.0,4648.0,4428.0,4292.0,10380.0,9920.0,9710.0,9400.0,9105.0
SAN DIEGO COUNTY,CA,6994.0,7000.0,6794.0,6706.0,6618.0,6382.0,6374.0,6310.0,6232.0,5846.0,5694.0,5642.0,14490.0,14295.0,14300.0,14470.0,14795.0
MARICOPA COUNTY,AZ,6700.0,6742.0,6502.0,6506.0,6510.0,6534.0,6654.0,6728.0,6636.0,6102.0,5872.0,5752.0,14445.0,14230.0,14325.0,14510.0,14485.0
SANTA CLARA COUNTY,CA,6634.0,6424.0,5848.0,5608.0,5522.0,5222.0,5252.0,5160.0,5078.0,4774.0,4676.0,4692.0,11735.0,11465.0,11385.0,11380.0,11245.0
DALLAS COUNTY,TX,6532.0,6502.0,6070.0,5956.0,5912.0,5776.0,5716.0,5670.0,5592.0,5300.0,5156.0,4960.0,12225.0,11905.0,11785.0,11800.0,11800.0
KING COUNTY,WA,5652.0,5498.0,5120.0,5086.0,5170.0,5038.0,5038.0,5014.0,4962.0,4660.0,4568.0,4540.0,11360.0,11165.0,11195.0,11320.0,11285.0
MIAMI-DADE COUNTY,FL,5464.0,5506.0,5138.0,5002.0,4874.0,4758.0,4644.0,4640.0,4456.0,4164.0,4028.0,4096.0,10335.0,10090.0,10435.0,10675.0,10870.0
CUYAHOGA COUNTY,OH,5138.0,5086.0,4856.0,4804.0,4742.0,4610.0,4534.0,4348.0,4248.0,4062.0,3904.0,3842.0,9500.0,9170.0,9065.0,8995.0,8720.0
ALAMEDA COUNTY,CA,4864.0,4766.0,4632.0,4516.0,4436.0,4266.0,4200.0,4136.0,4060.0,3762.0,3662.0,3646.0,9265.0,9000.0,9010.0,9190.0,9095.0
KINGS COUNTY,NY,4850.0,4658.0,4608.0,4514.0,4324.0,4172.0,3942.0,3916.0,3772.0,3576.0,3546.0,3536.0,8825.0,8670.0,8935.0,8980.0,8770.0
OAKLAND COUNTY,MI,4612.0,4586.0,4258.0,4250.0,4162.0,3986.0,3850.0,3738.0,3654.0,3472.0,3376.0,3372.0,8525.0,8605.0,8525.0,8635.0,8575.0
SUFFOLK COUNTY,NY,4528.0,4480.0,4482.0,4422.0,4280.0,4186.0,4158.0,4226.0,4174.0,3984.0,3834.0,3784.0,9400.0,9130.0,8870.0,8755.0,8605.0
HENNEPIN COUNTY,MN,4526.0,4442.0,4086.0,4044.0,4044.0,3928.0,3856.0,3766.0,3716.0,3488.0,3420.0,3358.0,8345.0,8150.0,8235.0,8265.0,8210.0
MIDDLESEX COUNTY,MA,4484.0,4364.0,4268.0,4092.0,4058.0,3842.0,3684.0,3664.0,3618.0,3434.0,3348.0,3286.0,8300.0,7965.0,8055.0,7970.0,7845.0
WAYNE COUNTY,MI,4336.0,4236.0,4046.0,3914.0,3768.0,3616.0,3468.0,3420.0,3304.0,3106.0,3008.0,2998.0,7465.0,7430.0,7295.0,7295.0,7260.0
MACOMB COUNTY,MI,4176.0,4028.0,3880.0,3876.0,3782.0,3654.0,3556.0,3454.0,3402.0,3204.0,3118.0,3152.0,7995.0,7915.0,7955.0,7995.0,7915.0
SAN BERNARDINO COUNTY,CA,4172.0,4226.0,4276.0,4242.0,4192.0,4124.0,4032.0,4132.0,3968.0,3744.0,3610.0,3524.0,8995.0,8840.0,8900.0,8960.0,8885.0
DUPAGE COUNTY,IL,3928.0,3944.0,3832.0,3780.0,3814.0,3736.0,3660.0,3674.0,3588.0,3418.0,3318.0,3304.0,8175.0,7985.0,8035.0,8120.0,8110.0
BROWARD COUNTY,FL,3874.0,3794.0,3598.0,3490.0,3418.0,3352.0,3438.0,3452.0,3296.0,3010.0,2916.0,2862.0,7255.0,7190.0,7140.0,7160.0,7190.0
QUEENS COUNTY,NY,3742.0,3502.0,3472.0,3302.0,3180.0,3028.0,2872.0,2868.0,2858.0,2698.0,2680.0,2590.0,6465.0,6350.0,6365.0,6335.0,6195.0
NASSAU COUNTY,NY,3576.0,3512.0,3328.0,3308.0,3236.0,3074.0,2974.0,2912.0,2846.0,2676.0,2622.0,2558.0,6225.0,5960.0,5925.0,5845.0,5725.0
TARRANT COUNTY,TX,3570.0,3628.0,3462.0,3404.0,3364.0,3318.0,3294.0,3306.0,3216.0,3052.0,3010.0,2964.0,7385.0,7385.0,7435.0,7485.0,7510.0
BERGEN COUNTY,NJ,3380.0,3280.0,3098.0,2962.0,2864.0,2756.0,2674.0,2652.0,2588.0,2420.0,2336.0,2280.0,5560.0,5380.0,5310.0,5300.0,5095.0
PROVIDENCE COUNTY,RI,3076.0,2934.0,2816.0,2736.0,2678.0,2610.0,2464.0,2354.0,2270.0,2104.0,1996.0,1944.0,4835.0,4630.0,4530.0,4525.0,4420.0
HARTFORD COUNTY,CT,3040.0,3010.0,2956.0,2912.0,2910.0,2850.0,2792.0,2786.0,2742.0,2638.0,2596.0,2536.0,6310.0,6120.0,6025.0,5945.0,5855.0
NEW HAVEN COUNTY,CT,2922.0,2872.0,2866.0,2770.0,2738.0,2670.0,2580.0,2570.0,2538.0,2436.0,2356.0,2334.0,5795.0,5710.0,5625.0,5555.0,5430.0
ALLEGHENY COUNTY,PA,2828.0,2824.0,2700.0,2638.0,2568.0,2498.0,2432.0,2378.0,2348.0,2250.0,2216.0,2186.0,5455.0,5455.0,5355.0,5305.0,5275.0
RIVERSIDE COUNTY,CA,2800.0,2970.0,2988.0,2934.0,3138.0,3100.0,3058.0,3172.0,3120.0,2894.0,2774.0,2754.0,7300.0,7390.0,7460.0,7480.0,7400.0
SALT LAKE COUNTY,UT,2790.0,2834.0,2826.0,2806.0,2826.0,2856.0,2870.0,2894.0,2930.0,2804.0,2766.0,2682.0,6810.0,6785.0,6815.0,7035.0,7040.0
MONTGOMERY COUNTY,PA,2780.0,2776.0,2614.0,2632.0,2530.0,2470.0,2414.0,2324.0,2308.0,2188.0,2126.0,2092.0,5150.0,5100.0,5065.0,5130.0,5025.0
HAMILTON COUNTY,OH,2720.0,2674.0,2558.0,2474.0,2438.0,2382.0,2352.0,2318.0,2270.0,2176.0,2114.0,2098.0,5080.0,5045.0,4955.0,4885.0,4910.0
MILWAUKEE COUNTY,WI,2688.0,2662.0,2564.0,2502.0,2468.0,2442.0,2378.0,2328.0,2304.0,2164.0,2088.0,2042.0,4990.0,4780.0,4810.0,4765.0,4815.0
WORCESTER COUNTY,MA,2620.0,2572.0,2438.0,2410.0,2320.0,2212.0,2176.0,2168.0,2158.0,2052.0,1962.0,1952.0,4835.0,4795.0,4720.0,4655.0,4715.0
MULTNOMAH COUNTY,OR,2566.0,2538.0,2434.0,2392.0,2406.0,2378.0,2386.0,2346.0,2318.0,2210.0,2204.0,2230.0,5550.0,5525.0,5755.0,5960.0,6115.0
ST. LOUIS COUNTY,MO,2556.0,2518.0,2408.0,2392.0,2428.0,2398.0,2324.0,2280.0,2248.0,2106.0,2052.0,2024.0,5015.0,4865.0,4780.0,4690.0,4570.0
PINELLAS COUNTY,FL,2440.0,2392.0,2346.0,2324.0,2278.0,2262.0,2204.0,2214.0,2164.0,2042.0,1992.0,2042.0,5110.0,5050.0,5095.0,5140.0,5165.0
PHILADELPHIA COUNTY,PA,2388.0,2324.0,2256.0,2246.0,2140.0,2038.0,1914.0,1866.0,1804.0,1686.0,1630.0,1564.0,3815.0,3615.0,3600.0,3560.0,3555.0
FAIRFIELD COUNTY,CT,2388.0,2340.0,2212.0,2200.0,2146.0,2060.0,2030.0,2024.0,2016.0,1874.0,1804.0,1730.0,4200.0,4190.0,4130.0,4130.0,4065.0
ERIE COUNTY,NY,2374.0,2322.0,2240.0,2230.0,2246.0,2212.0,2190.0,2208.0,2232.0,2138.0,2088.0,2034.0,5055.0,4965.0,4875.0,4825.0,4825.0
KENT COUNTY,MI,2362.0,2368.0,2310.0,2324.0,2316.0,2284.0,2290.0,2300.0,2248.0,2148.0,2094.0,2098.0,5345.0,5400.0,5420.0,5510.0,5485.0
BUCKS COUNTY,PA,2354.0,2316.0,2200.0,2188.0,2174.0,2132.0,2076.0,2122.0,2100.0,2032.0,1978.0,1956.0,4910.0,4765.0,4745.0,4710.0,4610.0
ESSEX COUNTY,MA,2318.0,2284.0,2232.0,2172.0,2118.0,2022.0,1966.0,2006.0,1976.0,1856.0,1756.0,1728.0,4355.0,4405.0,4305.0,4275.0,4290.0
WAUKESHA COUNTY,WI,2284.0,2222.0,2188.0,2158.0,2142.0,2108.0,2060.0,2050.0,2066.0,1998.0,1928.0,1892.0,4700.0,4685.0,4665.0,4665.0,4685.0
ESSEX COUNTY,NJ,2264.0,2220.0,2144.0,2084.0,2024.0,1930.0,1868.0,1814.0,1740.0,1652.0,1574.0,1550.0,3595.0,3515.0,3410.0,3395.0,3350.0
MARION COUNTY,IN,2228.0,2178.0,2102.0,2120.0,2122.0,2064.0,2084.0,2050.0,1970.0,1886.0,1822.0,1760.0,4480.0,4425.0,4350.0,4310.0,4290.0
TULSA COUNTY,OK,2158.0,2200.0,2144.0,2140.0,2102.0,2054.0,2048.0,2082.0,2064.0,1942.0,1872.0,1830.0,4715.0,4550.0,4595.0,4460.0,4325.0
VENTURA COUNTY,CA,2150.0,2178.0,2118.0,2082.0,2002.0,1976.0,1922.0,1956.0,1942.0,1822.0,1748.0,1734.0,4435.0,4445.0,4465.0,4580.0,4520.0
PALM BEACH COUNTY,FL,2112.0,2186.0,2112.0,2120.0,2046.0,1956.0,1976.0,2014.0,1948.0,1826.0,1788.0,1794.0,4665.0,4500.0,4510.0,4660.0,4855.0
SAN FRANCISCO COUNTY,CA,2100.0,1978.0,1800.0,1770.0,1726.0,1620.0,1600.0,1590.0,1544.0,1466.0,1448.0,1448.0,3450.0,3425.0,3405.0,3630.0,3625.0
SUMMIT COUNTY,OH,2094.0,2078.0,1986.0,1976.0,1912.0,1828.0,1802.0,1810.0,1764.0,1720.0,1634.0,1622.0,4060.0,4030.0,3940.0,3960.0,3900.0
BEXAR COUNTY,TX,2092.0,2008.0,1992.0,1990.0,1972.0,1966.0,1926.0,1940.0,1882.0,1804.0,1744.0,1704.0,4260.0,4175.0,4285.0,4175.0,4085.0
