county,state,year,fat_amount
Los Angeles,CA,2000,35154
Cook,IL,2000,14998
Orange,CA,2000,11332
Harris,TX,2000,8502
New York,NY,2000,8382
San Diego,CA,2000,6994
Maricopa,AZ,2000,6700
Santa Clara,CA,2000,6634
Dallas,TX,2000,6532
King,WA,2000,5652
Miami-Dade,FL,2000,5464
Cuyahoga,OH,2000,5138
Alameda,CA,2000,4864
Kings,NY,2000,4850
Oakland,MI,2000,4612
Suffolk,NY,2000,4528
Hennepin,MN,2000,4526
Middlesex,MA,2000,4484
Wayne,MI,2000,4336
Macomb,MI,2000,4176
San Bernardino,CA,2000,4172
Dupage,IL,2000,3928
Broward,FL,2000,3874
Queens,NY,2000,3742
Nassau,NY,2000,3576
Tarrant,TX,2000,3570
Bergen,NJ,2000,3380
Providence,RI,2000,3076
Hartford,CT,2000,3040
New Haven,CT,2000,2922
Allegheny,PA,2000,2828
Riverside,CA,2000,2800
Salt Lake,UT,2000,2790
Montgomery,PA,2000,2780
Hamilton,OH,2000,2720
Milwaukee,WI,2000,2688
Worcester,MA,2000,2620
Multnomah,OR,2000,2566
St. Louis,MO,2000,2556
Pinellas,FL,2000,2440
Philadelphia,PA,2000,2388
Fairfield,CT,2000,2388
Erie,NY,2000,2374
Kent,MI,2000,2362
Bucks,PA,2000,2354
Essex,MA,2000,2318
Waukesha,WI,2000,2284
Essex,NJ,2000,2264
Marion,IN,2000,2228
Tulsa,OK,2000,2158
Ventura,CA,2000,2150
Palm Beach,FL,2000,2112
San Francisco,CA,2000,2100
Summit,OH,2000,2094
Bexar,TX,2000,2092
Franklin,OH,2000,2080
San Mateo,CA,2000,1990
Passaic,NJ,2000,1970
Denver,CO,2000,1966
Hillsborough,FL,2000,1964
Lake,IL,2000,1960
Mecklenburg,NC,2000,1960
Monroe,NY,2000,1942
Lancaster,PA,2000,1898
Union,NJ,2000,1882
Middlesex,NJ,2000,1850
Sacramento,CA,2000,1834
Elkhart,IN,2000,1832
Montgomery,OH,2000,1826
Fulton,GA,2000,1812
Bristol,MA,2000,1800
Clark,NV,2000,1760
Jefferson,KY,2000,1752
Orange,FL,2000,1728
Jackson,MO,2000,1692
Shelby,TN,2000,1678
Norfolk,MA,2000,1664
Westchester,NY,2000,1656
Snohomish,WA,2000,1608
Jefferson,AL,2000,1600
Sonoma,CA,2000,1600
Washington,OR,2000,1600
Hudson,NJ,2000,1588
Kane,IL,2000,1580
Oklahoma,OK,2000,1572
Guilford,NC,2000,1562
Hampden,MA,2000,1556
Winnebago,IL,2000,1548
Travis,TX,2000,1546
Lake,OH,2000,1536
Pima,AZ,2000,1522
Ramsey,MN,2000,1452
Duval,FL,2000,1436
Morris,NJ,2000,1426
Fresno,CA,2000,1404
Contra Costa,CA,2000,1396
Davidson,TN,2000,1396
Greenville,SC,2000,1392
Gwinnett,GA,2000,1386
Hillsborough,NH,2000,1386
Wake,NC,2000,1374
Bernalillo,NM,2000,1368
Stark,OH,2000,1320
Honolulu,HI,2000,1314
Ottawa,MI,2000,1310
St. Louis City,MO,2000,1304
York,PA,2000,1300
Dekalb,GA,2000,1298
Pierce,WA,2000,1288
Chester,PA,2000,1284
Boulder,CO,2000,1270
El Paso,TX,2000,1262
Anoka,MN,2000,1256
Westmoreland,PA,2000,1250
Camden,NJ,2000,1226
Lane,OR,2000,1224
Mchenry,IL,2000,1208
Baltimore,MD,2000,1208
Plymouth,MA,2000,1196
Erie,PA,2000,1194
Cobb,GA,2000,1154
Dane,WI,2000,1154
Sedgwick,KS,2000,1152
Berks,PA,2000,1144
Spokane,WA,2000,1144
Lucas,OH,2000,1138
Clackamas,OR,2000,1132
San Joaquin,CA,2000,1124
Monmouth,NJ,2000,1110
Allen,IN,2000,1108
Jefferson,CO,2000,1106
Arapahoe,CO,2000,1104
Catawba,NC,2000,1104
Baltimore City,MD,2000,1072
Johnson,KS,2000,1060
Suffolk,MA,2000,1060
Will,IL,2000,1050
Douglas,NE,2000,1044
Santa Barbara,CA,2000,1030
Montgomery,MD,2000,1010
Onondaga,NY,2000,1008
El Paso,CO,2000,1002
Rockingham,NH,2000,998
Hamilton,TN,2000,992
Delaware,PA,2000,970
Fairfax,VA,2000,970
Bronx,NY,2000,964
St. Joseph,IN,2000,960
Spartanburg,SC,2000,950
New Castle,DE,2000,946
Dakota,MN,2000,942
Brevard,FL,2000,934
Stanislaus,CA,2000,928
Lehigh,PA,2000,926
Burlington,NJ,2000,922
Knox,TN,2000,906
Washoe,NV,2000,894
Polk,FL,2000,878
Brown,WI,2000,866
Gaston,NC,2000,862
Litchfield,CT,2000,862
Randolph,NC,2000,840
Jefferson Parish,LA,2000,836
Utah,UT,2000,832
Lake,IN,2000,832
Cumberland,ME,2000,830
Clark,WA,2000,830
Lorain,OH,2000,828
Washtenaw,MI,2000,828
Mahoning,OH,2000,818
Forsyth,NC,2000,818
Pulaski,AR,2000,814
Berrien,MI,2000,804
Santa Cruz,CA,2000,802
Mobile,AL,2000,798
Seminole,FL,2000,796
Butler,OH,2000,792
Polk,IA,2000,786
Kern,CA,2000,780
Ada,ID,2000,780
Luzerne,PA,2000,762
Volusia,FL,2000,758
Marion,OR,2000,756
Anne Arundel,MD,2000,754
Kalamazoo,MI,2000,754
Racine,WI,2000,748
Prince George'S,MD,2000,746
Lee,FL,2000,746
Larimer,CO,2000,738
Mercer,NJ,2000,734
Greene,MO,2000,730
Whitfield,GA,2000,720
Sarasota,FL,2000,718
Northampton,PA,2000,716
Kent,RI,2000,716
San Luis Obispo,CA,2000,694
Collin,TX,2000,684
Genesee,MI,2000,682
Madison,AL,2000,680
Somerset,NJ,2000,680
Orange,NY,2000,674
East Baton Rouge Parish,LA,2000,670
Denton,TX,2000,670
Jackson,MI,2000,668
Fort Bend,TX,2000,654
Washington,WI,2000,654
Portage,OH,2000,644
Buncombe,NC,2000,642
Muskegon,MI,2000,634
Marin,CA,2000,630
Whatcom,WA,2000,630
Adams,CO,2000,628
Crawford,PA,2000,628
Davidson,NC,2000,626
Outagamie,WI,2000,620
Rockland,NY,2000,616
Ocean,NJ,2000,612
Napa,CA,2000,610
Niagara,NY,2000,610
Winnebago,WI,2000,608
Medina,OH,2000,604
Montgomery,TX,2000,590
Monterey,CA,2000,590
Jackson,OR,2000,584
Henrico,VA,2000,584
St. Clair,MI,2000,580
Solano,CA,2000,580
Lackawanna,PA,2000,578
Placer,CA,2000,576
Middlesex,CT,2000,574
Alamance,NC,2000,570
St. Charles,MO,2000,570
Hidalgo,TX,2000,556
Iredell,NC,2000,554
Vanderburgh,IN,2000,554
Charleston,SC,2000,550
Trumbull,OH,2000,550
Manatee,FL,2000,546
Miami,OH,2000,542
Tulare,CA,2000,542
Wayne,OH,2000,540
Butler,PA,2000,540
Oneida,NY,2000,538
Williamson,TX,2000,534
Washington,PA,2000,532
Fayette,KY,2000,524
Ingham,MI,2000,522
Lancaster,NE,2000,522
Gloucester,NJ,2000,518
Richland,SC,2000,518
York,ME,2000,518
Mclennan,TX,2000,510
Davis,UT,2000,508
Lubbock,TX,2000,500
Wyandotte,KS,2000,494
Cameron,TX,2000,492
Rock,WI,2000,492
Sheboygan,WI,2000,492
Merrimack,NH,2000,490
Orleans Parish,LA,2000,488
Lexington,SC,2000,486
Livingston,MI,2000,486
Washington,MN,2000,486
Howard,MD,2000,484
Ozaukee,WI,2000,484
Albany,NY,2000,480
Saginaw,MI,2000,478
Weber,UT,2000,474
Linn,IA,2000,472
Broome,NY,2000,470
York,SC,2000,470
Chittenden,VT,2000,470
Union,NC,2000,468
Marion,FL,2000,468
Virginia Beach City,VA,2000,466
Yakima,WA,2000,464
Marathon,WI,2000,462
Brazoria,TX,2000,456
Stearns,MN,2000,456
Tuscarawas,OH,2000,456
Clay,MO,2000,454
Schuylkill,PA,2000,452
